x;y
-112;130
-112;130
-112;130
-112;130
-112;130
-112;130
-109;130
-106;130
-98;130
-95;130
-87;130
-84;130
-80;130
-76;130
-69;130
-66;130
-62;130
-58;130
-55;130
-51;130
-44;130
-40;130
-36;130
-29;130
-25;130
-22;130
-14;130
-11;130
-7;130
0;130
3;130
7;130
10;130
14;130
17;130
25;130
28;130
32;130
39;130
43;130
47;130
50;130
58;130
58;130
65;130
69;130
72;130
76;130
83;130
87;130
94;130
98;130
101;130
105;130
109;130
116;130
120;130
123;130
127;130
131;130
134;130
134;130
