x;y
120;-120
120;-120
120;-120
120;-117
120;-114
120;-112
120;-109
120;-104
120;-102
120;-99
120;-94
120;-92
120;-89
120;-87
120;-83
120;-81
120;-79
120;-77
120;-73
120;-71
120;-69
120;-67
120;-64
120;-62
120;-60
120;-58
120;-55
120;-53
120;-51
120;-48
120;-43
120;-40
120;-38
120;-35
120;-30
120;-28
120;-25
120;-23
120;-18
120;-15
120;-13
120;-10
120;-5
120;-3
120;0
120;1
120;6
120;8
120;11
120;13
120;18
120;21
120;24
120;27
120;33
120;36
120;38
120;41
120;46
120;49
120;51
120;54
120;60
120;63
120;66
120;70
120;76
120;78
120;80
120;82
120;86
120;88
120;90
120;93
120;98
120;100
120;103
120;105
120;110
120;113
120;115
120;118
120;118
120;118
120;118
120;118
120;118
120;118
120;118
120;118
120;118
120;118
