;time;x;y;fx;fy
;63;120;-116;0;234
;126;120;-113;0;490
;189;120;-109;0;490
;252;120;-106;0;490
;315;120;-98;0;490
;378;120;-95;0;490
;441;120;-91;0;414
;504;120;-87;0;414
;567;120;-80;0;414
;630;120;-76;0;414
;693;120;-73;0;414
;756;120;-69;0;409
;819;120;-62;0;409
;882;120;-58;0;409
;945;120;-55;0;409
;1008;120;-51;0;409
;1071;120;-44;0;378
;1134;120;-40;0;378
;1197;120;-36;0;378
;1260;120;-33;0;378
;1323;120;-29;0;378
;1386;120;-22;0;384
;1449;120;-18;0;384
;1512;120;-14;0;384
;1575;120;-7;0;384
;1638;120;-3;0;356
;1701;120;0;0;356
;1764;120;3;0;356
;1827;120;10;0;356
;1890;120;14;0;356
;1953;120;17;0;356
;2016;120;21;0;350
;2079;120;28;0;350
;2142;120;32;0;350
;2205;120;36;0;350
;2268;120;39;0;350
;2331;120;47;0;334
;2394;120;50;27;334
;2457;120;54;27;334
;2520;120;57;27;334
;2583;120;65;27;292
;2646;120;68;27;292
;2709;120;72;0;292
;2772;120;76;0;292
;2835;120;83;0;292
;2898;120;87;0;258
;2961;120;92;0;258
;3024;120;96;0;258
;3087;120;106;0;258
;3150;120;111;0;258
;3213;120;115;0;150
;3276;120;117;0;150
;3339;120;121;31;150
;3402;120;123;31;150
;3465;120;125;31;150
;3528;120;127;31;0
;3591;120;127;61;0
;3654;120;127;61;0
;3717;120;127;61;0
;3780;120;127;61;0
;3843;120;127;61;72
;3906;120;127;61;72
;3969;120;127;60;72
;4032;120;127;60;72
;4095;120;127;60;72
;4158;120;127;60;82
;4221;120;127;60;82
;4284;120;127;60;82
;4347;120;127;0;82
;4410;120;127;0;82
;4473;120;127;0;0
;4536;120;127;0;0
;4599;120;127;0;0
;4662;120;127;0;0
;4725;120;127;0;0
;4788;120;127;0;0
;4851;118;121;-144;-222
;4914;116;118;-144;-222
;4977;114;115;-144;-222
;5040;112;111;-144;-222
;5103;108;105;-144;-247
;5166;106;101;-144;-247
;5229;104;97;-403;-247
;5292;100;94;-403;-247
;5355;93;87;-403;-247
;5418;90;84;-403;-207
;5481;86;80;-403;-207
;5544;83;77;-444;-207
;5607;76;70;-444;-207
;5670;72;67;-444;-207
;5733;69;64;-444;-247
;5796;65;61;-444;-247
;5859;58;54;-424;-247
;5922;55;51;-424;-247
;5985;51;47;-424;-247
;6048;48;44;-424;-252
;6111;41;37;-424;-252
;6174;37;34;-424;-252
;6237;34;31;-424;-252
;6300;30;27;-424;-252
;6363;23;21;-424;-272
;6426;20;17;-424;-272
;6489;16;14;-402;-272
;6552;9;7;-402;-272
;6615;5;3;-402;-272
;6678;1;0;-402;-280
;6741;-3;-6;-402;-280
;6804;-14;-16;-381;-280
;6867;-19;-21;-381;-280
;6930;-24;-26;-381;-280
;6993;-28;-30;-381;-257
;7056;-32;-34;-381;-257
;7119;-39;-40;-388;-257
;7182;-42;-44;-388;-257
