x;y
-139;-122
-136;-122
-134;-122
-131;-122
-135;-122
-139;-122
-142;-122
-149;-122
-150;-122
-146;-122
-142;-122
-135;-122
-131;-122
-128;-122
-124;-122
-117;-122
-113;-122
-109;-122
-107;-122
-107;-122
-107;-122
-107;-122
-107;-122
-107;-122
-107;-122
-107;-122
-107;-122
-107;-122
-107;-122
-107;-122
-107;-122
-107;-122
-107;-122
-107;-122
-105;-122
-102;-122
-100;-122
-99;-122
-97;-122
-95;-122
-92;-122
-91;-122
-89;-122
-88;-122
-82;-122
-78;-122
-75;-122
-67;-122
-64;-122
-60;-122
-56;-122
-49;-122
-45;-122
-42;-122
-35;-122
-31;-122
-27;-122
-24;-122
-20;-122
-15;-122
-6;-122
-1;-122
7;-122
11;-122
14;-122
17;-122
21;-122
27;-122
30;-122
32;-122
35;-122
37;-122
42;-122
45;-122
47;-122
52;-122
55;-122
57;-122
60;-122
63;-122
70;-122
73;-122
80;-122
83;-122
86;-122
89;-122
92;-122
99;-122
102;-122
109;-122
112;-122
112;-122
118;-122
120;-122
121;-122
123;-122
126;-122
128;-122
