x;y
120;130
120;129
120;125
120;123
120;121
119;119
116;115
114;113
113;111
111;109
105;105
101;105
97;105
93;105
90;105
83;104
81;102
78;101
73;97
71;95
68;93
63;88
61;85
58;82
56;79
52;76
46;69
43;66
39;63
36;59
33;55
29;46
27;42
24;37
21;29
19;25
18;21
16;19
13;14
12;11
10;8
8;6
5;1
3;-1
1;-4
0;-6
-3;-11
-5;-14
-6;-16
-8;-19
-15;-24
-18;-26
-22;-29
-25;-31
-28;-34
-35;-39
-38;-41
-41;-43
-45;-44
-51;-48
-54;-50
-57;-52
-60;-54
-66;-58
-68;-60
-71;-62
-73;-65
-79;-69
-81;-71
-83;-73
-87;-77
-89;-79
-91;-81
-93;-83
-97;-87
-98;-89
-100;-91
-102;-93
-105;-97
-105;-99
-105;-101
-105;-105
-105;-107
-105;-109
-105;-111
-105;-113
-105;-115
-105;-119
-105;-120
-107;-122
-108;-124
-112;-128
-113;-130
-115;-130
-117;-130
-117;-130
