x;y
-126;130
-126;130
-126;130
-126;130
-126;130
-126;129
-126;125
-126;119
-126;119
-126;112
-126;109
-126;109
-126;109
-126;109
-126;109
-126;109
-126;104
-123;96
-122;91
-119;83
-118;81
-117;79
-117;77
-117;75
-117;72
-117;69
-117;65
-117;58
-117;58
-117;51
-117;46
-117;41
-117;37
-117;27
-117;22
-117;18
-117;11
-117;8
-117;4
-117;1
-117;-7
-117;-11
-117;-16
-117;-21
-117;-30
-117;-35
-117;-39
-117;-42
-117;-45
-117;-52
-117;-55
-117;-65
-117;-70
-117;-74
-117;-79
-117;-84
-117;-91
-117;-95
-117;-99
-117;-102
-117;-109
-117;-112
-117;-116
-117;-119
-117;-122
-117;-128
-117;-130
-117;-130
-117;-130
-117;-130
-117;-130
-117;-130
-117;-130
-117;-130
-117;-130
-117;-130
