time;x;y;fx;fy
63;120;-120;43;80
126;120;-120;43;80
189;120;-120;43;80
252;120;-120;43;80
315;120;-118;35;140
378;120;-116;35;140
441;120;-114;35;140
504;120;-112;35;140
567;120;-108;37;140
630;120;-106;37;140
693;120;-104;37;140
756;120;-102;37;140
819;120;-98;37;140
882;120;-96;0;140
945;120;-94;0;167
1008;120;-92;0;167
1071;120;-87;0;167
1134;120;-84;0;167
1197;120;-82;0;167
1260;120;-79;0;179
1323;120;-74;0;179
1386;120;-72;0;179
1449;120;-69;0;179
1512;120;-67;0;179
1575;120;-62;0;171
1638;120;-59;0;171
1701;120;-57;0;171
1764;120;-54;0;171
1827;120;-49;30;171
1890;120;-46;30;172
1953;120;-44;30;172
2016;120;-41;30;172
2079;120;-36;30;172
2142;120;-34;30;172
2205;120;-31;31;165
2268;120;-29;31;165
2331;120;-24;31;165
2394;120;-21;31;165
2457;120;-19;31;165
2520;120;-17;29;158
2583;120;-12;29;158
2646;120;-10;29;158
2709;120;-8;29;158
2772;120;-6;29;158
2835;120;-1;27;174
2898;120;0;27;174
2961;120;3;27;174
3024;120;5;27;174
3087;120;10;27;173
3150;120;13;0;173
3213;120;15;0;173
3276;120;18;0;173
3339;120;23;0;173
3402;120;25;0;197
3465;120;29;0;197
3528;120;32;0;197
3591;120;38;0;197
3654;120;41;0;197
3717;120;45;0;200
3780;120;48;0;200
3843;120;55;0;200
3906;120;58;0;200
3969;120;61;0;200
4032;120;64;0;200
4095;120;71;0;202
4158;120;74;0;202
4221;120;77;0;202
4284;120;80;0;202
4347;120;87;0;194
4410;120;90;0;194
4473;120;94;0;194
4536;120;97;0;194
4599;120;103;0;194
4662;120;106;0;156
4725;120;108;0;156
4788;120;110;0;156
4851;120;114;0;156
4914;120;116;0;156
4977;120;118;0;50
5040;120;118;47;50
5103;120;118;47;50
5166;120;118;47;50
5229;120;118;47;50
5292;120;118;47;52
5355;120;118;46;52
5418;120;118;46;52
5481;120;118;46;52
5544;120;118;46;52
5607;120;118;43;58
5670;120;118;43;58
5733;120;118;43;58
5796;120;118;43;58
5859;120;118;43;58
5922;120;118;42;60
5985;120;118;42;60
6048;120;118;42;60
6111;120;118;42;60
6174;120;118;42;60
6237;120;118;42;60
6300;120;118;0;47
6363;120;118;0;47
6426;120;118;0;47
6489;120;118;0;47
6552;120;118;0;47
6615;120;118;0;0
6678;120;118;0;0
6741;120;118;0;0
6804;120;118;0;0
6867;120;118;0;0
6930;120;118;0;0
6993;120;118;0;0
7056;120;118;0;0
7119;120;118;0;0
7182;120;118;0;0
7245;120;118;0;0
7308;120;118;0;0
7371;120;118;0;0
7434;120;118;0;-37
7497;120;118;0;-37
7560;120;118;0;-37
7623;120;118;0;-37
7686;120;118;0;-37
7749;120;118;-41;-68
7812;120;118;-41;-68
7875;120;118;-41;-68
7938;120;118;-41;-68
8001;120;118;-41;-68
8064;120;118;-102;-95
8127;120;118;-102;-95
8190;120;118;-102;-95
8253;120;118;-102;-95
8316;120;118;-102;-95
8379;120;118;-102;-95
8442;115;115;-178;-123
8505;112;113;-178;-123
8568;110;111;-178;-123
8631;107;110;-178;-123
8694;104;107;-87;-51
8757;104;107;-87;-51
8820;104;107;-87;-51
8883;104;107;-87;-51
8946;104;107;-87;-51
9009;104;106;-87;-143
9072;104;104;-87;-143
9135;104;102;-87;-143
9198;104;98;-87;-143
9261;104;96;-87;-143
9324;103;94;-141;-178
9387;101;91;-141;-178
9450;97;86;-141;-178
9513;95;84;-141;-178
9576;93;81;-141;-178
9639;90;79;-231;-76
9702;83;79;-231;-76
9765;79;79;-231;-76
9828;75;79;-231;-76
9891;71;79;-231;-76
9954;65;76;-174;-180
10017;63;74;-174;-180
10080;60;71;-174;-180
10143;58;69;-174;-180
10206;53;64;-188;-157
10269;50;62;-188;-157
10332;48;60;-188;-157
10395;45;58;-188;-157
10458;40;54;-188;-157
10521;37;52;-188;-157
10584;35;49;-184;-186
10647;32;47;-184;-186
10710;27;41;-184;-186
10773;24;39;-184;-186
10836;22;36;-184;-186
10899;19;34;-171;-187
10962;14;29;-171;-187
11025;12;26;-171;-187
11088;9;24;-171;-187
11151;7;21;-171;-187
11214;3;15;-127;-194
11277;1;12;-127;-194
11340;0;10;-127;-194
11403;-3;4;-127;-194
11466;-4;1;-98;-194
11529;-4;-1;-98;-155
11592;-4;-3;-98;-155
11655;-4;-5;-98;-155
11718;-4;-9;-98;-155
11781;-4;-11;-104;-155
11844;-4;-14;-104;-155
11907;-4;-16;-104;-140
11970;-4;-20;-104;-140
12033;-4;-22;-104;-140
12096;-4;-24;-220;-140
12159;-10;-28;-220;-161
12222;-14;-30;-220;-161
12285;-17;-33;-220;-161
12348;-20;-35;-220;-161
12411;-23;-38;-295;-161
12474;-32;-42;-295;-203
12537;-36;-45;-295;-203
12600;-42;-52;-295;-203
12663;-46;-55;-295;-203
12726;-49;-59;-183;-203
12789;-51;-62;-183;-203
12852;-56;-68;-183;-196
12915;-59;-71;-183;-196
12978;-61;-74;-183;-196
13041;-64;-77;-191;-196
13104;-70;-83;-191;-179
13167;-73;-86;-191;-179
13230;-75;-88;-191;-179
13293;-78;-91;-191;-179
13356;-81;-93;-183;-179
13419;-83;-96;-183;-179
13482;-88;-100;-183;-154
13545;-91;-102;-183;-154
13608;-93;-104;-183;-154
13671;-98;-108;-138;-154
13734;-100;-110;-138;-122
13797;-101;-112;-138;-122
13860;-105;-115;-138;-122
13923;-106;-117;-75;-122
