x;y
132;-125
132;-123
132;-120
132;-118
132;-115
132;-115
132;-114
132;-114
132;-114
132;-114
132;-114
132;-112
129;-110
120;-106
115;-104
111;-103
107;-103
103;-103
95;-103
92;-103
88;-102
81;-95
76;-92
71;-89
67;-86
62;-83
54;-74
50;-69
47;-64
44;-60
38;-51
35;-46
32;-41
25;-32
25;-32
19;-24
13;-18
9;-15
6;-12
3;-8
0;-4
-2;0
-8;9
-11;14
-13;18
-16;22
-22;28
-25;31
-28;35
-31;38
-38;44
-41;48
-46;53
-50;57
-59;65
-64;68
-68;70
-75;75
-75;75
-81;80
-88;87
-92;90
-97;93
-102;96
-111;101
-116;104
-119;106
-122;108
-125;110
-132;115
-135;117
-135;120
-135;122
-135;127
-135;128
-135;128
